year	month	m1_12	m24_36	m48_60	m61_120
1973	2	0.00357	-0.00226	-0.0065	-0.0051
1973	3	0.0027	0.00025	0.00264	-0.00133
1973	4	0.00646	0.00876	0.00943	0.00733
1973	5	0.00377	0.00422	0.00537	0.00167
1973	6	0.00232	-0.00044	-0.00076	0.00269
1973	7	0.00255	-0.015	-0.03098	-0.02957
1973	8	0.00867	0.01709	0.0274	0.02686
1973	9	0.01353	0.02356	0.02631	0.02591
1973	10	0.00777	0.005	0.00377	0.00834
1973	11	0.00332	0.00604	0.00661	0.00648
1973	12	0.0068	0.00448	0.00289	0.00453
1974	1	0.00721	0.00621	0.00369	-0.00271
1974	2	0.00494	0.00323	0.00187	0.00565
1974	3	-0.00146	-0.01347	-0.02188	-0.02443
1974	4	0.00426	-0.00401	-0.01305	-0.01818
1974	5	0.00919	0.01118	0.01265	0.0116
1974	6	0.00611	0.00097	-0.00477	-0.0024
1974	7	0.00698	0.00288	0.00298	-0.00302
1974	8	0.00358	0.00386	0.00138	-0.00354
1974	9	0.01579	0.0209	0.02926	0.03009
1974	10	0.0069	0.0107	0.00958	0.01743
1974	11	0.00665	0.01623	0.02328	0.02111
1974	12	0.00882	0.01009	0.01736	0.01982
1975	1	0.01019	0.01487	0.00735	0.00572
1975	2	0.00629	0.01422	0.01831	0.01189
1975	3	0.00388	-0.00341	-0.00902	-0.00864
1975	4	0.00322	-0.00947	-0.01637	-0.01675
1975	5	0.00975	0.02107	0.02701	0.0224
1975	6	0.00101	0.00106	-0.00075	0.00546
1975	7	0.00356	-0.00388	-0.00419	-0.00239
1975	8	0.00492	0.00614	8e-04	-0.00173
1975	9	0.00563	-0.00086	0.00014	-0.00676
1975	10	0.01253	0.02949	0.03507	0.03554
1975	11	0.00402	0.00028	-0.00141	-0.00172
1975	12	0.00786	0.01757	0.01963	0.02449
1976	1	0.00769	0.01103	0.00742	0.00673
1976	2	0.00202	-1e-05	0.00614	0.00776
1976	3	0.00566	0.00895	0.00869	0.01053
1976	4	0.00487	0.00815	0.00868	0.00721
1976	5	0.001	-0.00851	-0.01122	-0.00848
1976	6	0.00742	0.01406	0.01559	0.01313
1976	7	0.00669	0.01046	0.01191	0.00874
1976	8	0.0063	0.01166	0.01547	0.01679
1976	9	0.0052	0.01032	0.01286	0.01318
1976	10	0.00593	0.01138	0.01543	0.01623
1976	11	0.00729	0.02043	0.03086	0.03248
1976	12	0.00462	0.00521	0.00435	0.01286
1977	1	0.00143	-0.01269	-0.0232	-0.02616
1977	2	0.00496	0.00735	0.0054	0.00295
1977	3	0.00501	0.00681	0.00736	0.00672
1977	4	0.00375	0.00524	0.0044	0.00526
1977	5	0.00293	0.00491	0.00764	0.00842
1977	6	0.0052	0.00819	0.01225	0.01456
1977	7	0.00211	-0.00375	-0.00645	-0.00625
1977	8	0.00487	0.0052	0.00785	0.01196
1977	9	0.00344	0.00047	0.00043	-0.00156
1977	10	0.00419	-0.00131	-0.00541	-0.00674
1977	11	0.00606	0.00818	0.00946	0.00982
1977	12	0.00491	0.00284	-0.00325	-0.00662
1978	1	0.00499	0.0014	0.00049	-0.00284
1978	2	0.00534	0.00305	0.00121	-0.00029
1978	3	0.00573	0.00459	0.00408	0.00194
1978	4	0.00484	0.00298	0.00293	0.00146
1978	5	0.00473	0.00124	-0.00142	-0.00391
1978	6	0.00461	-0.00109	-0.0026	-0.00426
1978	7	0.00706	0.00857	0.00961	0.01021
1978	8	0.00593	0.00876	0.00817	0.0123
1978	9	0.00397	0.00366	0.00447	-9e-05
1978	10	0.00383	-0.01055	-0.01677	-0.0149
1978	11	0.00594	0.00718	0.01407	0.01162
1978	12	0.00506	-0.00456	-0.00962	-0.01118
1979	1	0.01125	0.01685	0.02133	0.02232
1979	2	0.00686	0.00299	-0.00665	-0.00579
