f3,v3,tot3,prov,reg,scl,nahm,durb,nch06,nch711,nch1217,nch18
6280.6042,3236.37,45812.4152,11,5,2,4,7,0,0,1,3
3952.5701,87.5,18658.5863,4,4,3,1,11,0,0,0,1
7225.0545,2528.74,34136.1975,4,4,4,2,12,0,0,0,2
6568.6131,427.05,29413.4941,4,4,4,2,6,1,1,0,2
11346.511,444.3,34785.4082,1,3,4,3,6,1,0,1,2
6513.6402,150,22580.3193,1,3,4,4,6,0,0,2,2
5192.4112,400,28857.7482,1,3,2,1,9,0,0,0,1
6878.0426,1250,55077.5186,8,6,2,2,7,1,0,0,2
8784.11,308,36300.868,6,2,2,2,12,1,0,0,2
7655.2409,4731.31,52167.6439,10,5,2,2,6,1,0,0,2
5789.7058,1632,39659.1318,11,5,4,2,9,0,0,0,2
5619.9457,2025,45199.1907,8,2,1,2,10,0,0,0,2
8981.7466,0,27468.4853,12,1,4,2,13,1,1,0,2
5436.283,3402.75,35817.447,12,1,4,2,13,0,0,0,2
3465.1807,0,15028.6553,12,1,4,1,13,0,0,0,1
6260.179,1765.6,25807.8681,12,1,4,2,13,2,0,0,2
3605.8421,223.55,14533.9345,12,1,4,1,13,0,0,0,1
1971.9753,288.75,14238.6512,12,1,4,1,13,0,0,0,1
3427.4316,1877.2,19190.0342,12,1,4,1,13,0,0,0,1
7925.8698,0,25898.3331,12,1,2,2,13,0,0,0,2
9925.2067,2531.5,47486.5957,12,1,2,2,13,2,0,0,2
6731.4912,2621.15,34054.0712,12,1,4,2,13,0,0,0,2
10386.6018,203.5,39263.3073,7,2,1,2,7,0,0,0,2
4687.7768,13.5,22503.6582,7,2,1,2,7,0,0,0,2
4708.3834,0,32339.0143,10,5,1,2,10,0,0,0,2
6045.4106,0,14584.641,10,5,2,2,12,0,1,0,2
7165.1935,0,15995.1688,10,5,4,2,12,0,0,0,2
9149.7832,1008.2,20579.9452,10,5,3,2,12,0,0,0,2
6993.1565,4676.95,50341.6225,10,5,1,4,11,0,0,2,2
7433.0466,0,28575.9586,10,5,2,1,10,0,0,0,1
10009.7023,910.5,28980.5013,11,5,4,4,10,0,0,1,3
11635.6407,1320.16,124564.1872,5,4,1,2,9,0,0,0,2
8584.5816,0,37655.9716,3,3,4,4,4,0,0,2,2
9918.5207,840,38911.9007,1,3,4,2,12,0,0,0,2
9612.5422,1065.15,29915.0082,8,2,3,4,4,0,0,1,3
7990.17,0,27301.8895,6,2,5,2,11,0,0,0,2
6074.2095,0,25813.2635,6,2,3,2,11,0,0,0,2
1868.1103,0,8728.8603,10,5,4,1,10,0,0,0,1
2212.1041,0,9977.3553,10,5,4,1,6,0,0,0,1
10217.1822,3235.54,36776.7002,10,5,4,3,6,0,1,1,2
11762.2426,5045.65,70682.7706,11,5,1,4,4,0,0,2,2
2946.839,69.65,11385.9621,11,5,5,1,11,0,0,0,1
5527.9451,834.57,21057.9921,4,4,3,2,12,0,0,0,2
8064.7158,490,34677.1683,3,3,4,2,10,0,0,0,2
3839.7798,2283.75,33539.2092,2,3,4,2,6,0,0,0,2
3759.6874,0,13149.0738,1,3,4,2,6,0,0,0,2
11200.6853,0,22536.2821,1,3,3,4,5,0,1,2,2
4855.1395,27,25937.9916,1,3,3,2,7,0,0,0,2
4792.1589,2653.39,21461.5669,7,2,2,1,12,0,0,0,1
14891.0055,6007.9,60238.2018,12,1,4,4,13,0,0,0,4
2323.5941,157.5,12974.6078,12,1,2,1,13,0,0,0,1
8447.2095,24,12602.3112,12,1,4,2,13,0,0,0,0
5611.461,1910.3,32861.593,12,1,3,3,13,0,1,1,2
10108.9587,1950,49979.3607,11,5,4,3,6,0,0,0,3
6712.3622,3329.74,31962.3497,5,4,4,2,9,0,2,0,2
6671.9741,1500,22552.3608,1,3,4,2,7,0,0,0,2
2976.9543,958.5,13189.7925,5,4,5,1,5,0,0,0,1
7807.5837,35,31959.3807,6,2,4,4,6,0,0,1,3
1641.76,9710.17,27981.9042,6,2,2,1,12,0,0,0,1
2216.8899,197.9,15866.2838,6,2,2,1,12,0,0,0,1
